N,P,K,temperature,humidity,ph,moisture,soil temp,crops,Fertilizer
53,56,25,22.05592283,75.60379304,5.774755144,28.6,26.7,sugarcane,TSP
60,59,15,18.87492997,75.18238348,5.97229163,28.7,26.8,sugarcane,TSP
58,61,21,18.62328774,75.02410338,5.532100554,28.6,26.9,sugarcane,TSP
52,80,20,23.00884744,75.86880997,5.669560726,28.5,26.8,sugarcane,TSP
42,61,19,19.33162606,76.13995025,5.655726817,28.4,26.7,sugarcane,TSP
60,74,21,16.24469193,76.35793891,5.591704014,28.5,26.8,sugarcane,TSP
65,69,22,17.91652287,76.90814655,5.932323085,28.6,26.9,sugarcane,TSP
62,75,18,15.46789263,76.43780702,5.824208309,28.5,27,sugarcane,TSP
44,68,20,17.06104474,76.77201471,5.86442953,28.4,26.9,sugarcane,TSP
50,65,16,21.32776028,76.48522915,5.866744372,28.5,27,sugarcane,TSP
42,79,15,23.90910104,76.74619325,5.706198621,28.4,27.1,sugarcane,TSP
45,78,22,23.89756791,76.74378977,5.940546818,28.3,22.4,sugarcane,TSP
47,55,22,22.98666928,76.57940608,5.916779289,28.4,22.5,sugarcane,TSP
60,59,15,21.35135729,76.91244883,5.779090476,28.3,22.6,sugarcane,TSP
53,68,23,24.1638445,76.27907819,5.82738029,28.4,22.5,sugarcane,TSP
57,68,19,24.62835037,76.18325169,5.514234138,28.5,22.4,sugarcane,TSP
55,64,17,21.02213209,76.93896255,5.662699104,28.4,22.5,sugarcane,TSP
59,69,19,17.30844532,76.01730914,5.86390397,28.3,22.6,sugarcane,TSP
67,67,22,23.82576704,76.75485098,5.624690248,28.2,22.7,sugarcane,TSP
70,69,20,19.30607278,76.96362799,5.591560999,28.1,22.6,sugarcane,TSP
72,73,22,16.03768615,76.33195853,5.976312538,28,22.5,sugarcane,TSP
64,78,20,19.18572809,76.83398341,5.669236258,28.1,22.6,sugarcane,TSP
57,72,23,19.92889503,76.79992115,5.961934481,28,22.7,sugarcane,TSP
60,67,15,19.56376468,76.67385131,5.690065688,28.1,22.6,sugarcane,TSP
62,56,18,18.31357543,76.32991649,5.698371311,28.2,22.7,sugarcane,TSP
69,65,18,20.10993761,76.22323766,5.59503163,28.1,22.8,sugarcane,TSP
70,63,16,23.60506572,75.90539577,5.525904526,28,22.7,sugarcane,TSP
65,70,25,19.73136909,75.89487354,5.819403771,27.9,22.6,sugarcane,TSP
66,63,19,20.93409877,75.1893007,5.562201934,27.8,22.7,sugarcane,TSP
57,60,24,18.78226261,75.24768314,5.630664753,27.9,22.8,sugarcane,TSP
55,72,24,36.51268371,75.92887167,6.03160778,28,22.9,sugarcane,TSP
40,59,23,36.89163721,75.73178224,5.269084669,27.9,22.8,sugarcane,TSP
33,73,23,29.23540524,75.38967583,5.985792703,27.8,22.9,sugarcane,TSP
27,57,24,27.33534897,75.35795962,6.09186275,27.7,23,sugarcane,TSP
10,79,18,21.0643684,75.46985938,5.624731338,27.8,23.1,sugarcane,TSP
30,75,25,30.33276599,75.35249879,6.446091759,27.7,23,sugarcane,TSP
40,70,20,31.80130272,75.03186173,5.623490043,27.8,22.9,sugarcane,TSP
38,55,19,33.18184225,75.23184742,5.864623352,27.7,23,sugarcane,TSP
35,58,20,29.38538562,75.47742011,5.761702519,27.6,22.9,sugarcane,TSP
38,61,21,30.27374995,75.38680755,4.696518678,27.5,22.8,sugarcane,TSP
33,58,24,35.45790488,75.75810535,5.269504214,27.4,22.9,sugarcane,TSP
37,56,17,33.80020039,75.03262418,7.445444883,27.3,23,sugarcane,TSP
31,72,17,28.69180475,74.47225353,5.833031708,27.4,23.1,sugarcane,TSP
30,80,20,31.24021696,74.67369054,7.339320929,27.3,23.2,sugarcane,TSP
27,72,17,28.98039357,74.23265151,6.347929353,27.4,23.1,sugarcane,TSP
40,62,19,27.32198928,74.13737127,4.697750704,27.3,23,sugarcane,TSP
44,58,16,21.47607807,74.80023714,4.962661422,27.2,23.1,sugarcane,TSP
48,68,16,18.31910448,74.69776639,4.964887857,27.1,23,sugarcane,TSP
50,67,24,36.97794384,74.73992903,5.642813116,27,23.1,sugarcane,TSP
54,70,20,24.80467592,74.1242747,5.6093956,26.9,23,sugarcane,TSP
43,63,19,19.3479443,74.96805489,4.681576043,27,22.9,sugarcane,TSP
47,76,25,28.88302142,74.12323801,5.70951224,27.1,23,sugarcane,TSP
40,55,19,19.54314136,74.19188279,6.413543781,27,23.1,sugarcane,TSP
37,75,21,24.7741949,74.54621094,6.007508163,26.9,23.2,sugarcane,TSP
35,71,24,18.33124824,74.40975482,4.946369874,27,23.3,sugarcane,TSP
37,70,21,19.14729038,74.3733757,5.517208078,26.9,23.2,sugarcane,TSP
38,72,21,28.23416057,74.4421345,5.902103172,27,23.1,sugarcane,TSP
44,66,21,30.11812084,74.13307843,5.719889876,26.9,23.2,sugarcane,TSP
34,56,17,33.4126864,74.42910045,4.548202098,26.8,23.3,sugarcane,TSP
40,76,19,24.18553163,74.68746847,6.669529416,26.7,23.4,sugarcane,TSP
34,69,19,26.88630675,74.69617915,4.750929218,26.6,23.3,sugarcane,TSP
26,73,21,31.33170829,74.97429171,4.946263888,26.5,23.4,sugarcane,TSP
27,61,18,33.30711818,75.07780816,5.266227032,26.4,23.5,sugarcane,TSP
27,71,23,23.45379018,75.48714759,7.10959773,26.5,23.6,sugarcane,TSP
36,61,21,34.53823889,75.04468913,5.617008201,26.4,23.5,sugarcane,TSP
34,73,18,19.50112224,75.51086611,5.632353113,26.5,23.4,sugarcane,TSP
26,72,22,28.76794904,75.57792132,4.674941549,26.6,23.5,sugarcane,TSP
30,64,16,30.97758716,75.24914235,7.161797643,26.5,23.4,sugarcane,TSP
34,74,19,18.39759147,75.82639309,6.624966131,26.4,23.5,sugarcane,TSP
39,60,15,35.09357419,75.98685456,5.004074624,26.3,23.6,sugarcane,TSP
37,66,15,34.93174223,75.40046769,6.345806011,26.4,23.7,sugarcane,TSP
38,59,18,29.50523036,75.72032498,6.216814453,26.3,23.6,sugarcane,TSP
45,67,18,34.51934775,75.52980027,5.921666758,26.4,23.7,sugarcane,TSP
40,76,17,28.43430726,75.10010827,6.012719118,26.3,23.6,sugarcane,TSP
35,73,19,18.41645629,75.80541039,4.684079249,26.2,23.7,sugarcane,TSP
29,75,25,31.07508973,76.19847683,7.077170002,26.1,23.8,sugarcane,TSP
32,70,20,20.89342749,76.24856523,6.208843215,26.2,23.9,sugarcane,TSP
28,59,22,30.90607799,76.79913039,7.05181629,26.1,23.8,sugarcane,TSP
37,62,23,27.9348279,76.45457122,4.722222454,26,23.7,sugarcane,TSP
36,67,25,35.95176642,76.52780776,6.418062652,26.1,23.8,sugarcane,TSP
31,66,23,19.54317155,76.92831399,4.803564468,26,23.9,sugarcane,TSP
40,73,20,19.63736208,76.31528909,4.608695247,25.9,24,sugarcane,TSP
44,67,18,31.2192752,76.46868874,5.611510977,25.8,24.1,sugarcane,TSP
39,55,18,33.50876355,76.70976142,7.322097972,25.9,24.2,sugarcane,TSP
37,56,24,24.80710166,76.01110015,5.023115055,26,24.1,sugarcane,TSP
39,77,17,36.20970524,76.94550613,5.617122801,25.9,24,sugarcane,TSP
34,73,20,30.50420876,76.48885969,5.391560418,25.8,24.1,sugarcane,TSP
30,63,23,26.01630259,76.94704718,5.906596905,25.7,24,sugarcane,TSP
33,77,22,31.48469278,76.6395615,6.574209678,25.6,23.9,sugarcane,TSP
25,64,20,33.15122581,76.45974539,4.807776749,25.7,23.8,sugarcane,TSP
34,75,24,23.50222822,76.29019509,4.760038039,25.6,23.9,sugarcane,TSP
24,77,23,34.87248659,76.83786012,5.180271502,25.7,23.8,sugarcane,TSP
35,80,25,28.09269012,76.93322042,4.895927306,25.6,23.9,sugarcane,TSP
40,75,24,24.54757829,77.3414485,6.436160044,25.4,23.8,sugarcane,TSP
36,80,21,33.64769646,77.41490082,7.066087261,25.3,23.9,sugarcane,TSP
37,77,18,20.5591255,77.54880693,6.655918078,25.4,24,sugarcane,TSP
29,78,25,19.95991719,77.33157782,5.982854523,25.3,24.1,sugarcane,TSP
30,60,21,28.87667593,77.4901206,5.457871273,25.2,24,sugarcane,TSP
34,74,16,36.04353699,77.61444121,4.759490199,25.1,24.1,sugarcane,TSP
37,57,23,23.6734328,77.2879691,7.342409555,25,24.2,sugarcane,TSP
39,60,19,25.74679443,77.7192594,4.820788186,25.1,24.3,sugarcane,TSP
33,77,19,31.08564994,77.68832981,6.242052013,25.2,24.2,sugarcane,TSP
40,68,20,18.72987676,77.33186249,5.001038726,25.1,24.3,sugarcane,TSP
37,73,21,29.50304807,77.46513414,5.560224583,25.2,24.2,sugarcane,TSP
35,59,24,20.43517772,77.37252634,4.747352458,25.1,24.1,sugarcane,TSP
39,72,15,36.00415838,77.01334416,7.313517308,25,24,sugarcane,TSP
31,56,23,31.46846241,77.39454002,5.661826398,24.9,24.1,sugarcane,TSP
37,70,21,36.30049702,77.03021253,4.672437054,25,24.2,sugarcane,TSP
30,74,15,29.49096726,77.10604388,6.471862118,24.9,24.1,sugarcane,TSP
32,67,18,30.5753044,77.75591197,5.384762927,25,24.2,sugarcane,TSP
27,74,20,24.69487673,77.96669215,5.859813416,24.9,24.3,sugarcane,TSP
29,72,24,23.17409556,78.67847052,6.962386495,25,24.4,sugarcane,TSP
37,68,20,19.04380471,78.10695144,6.12166671,24.9,24.5,sugarcane,TSP
39,57,19,29.32379604,78.93248374,6.421748487,24.8,24.6,sugarcane,TSP
38,62,16,34.6455408,78.32342534,4.828936119,24.7,24.7,sugarcane,TSP
44,55,23,21.9989826,78.31006755,6.98571967,24.6,24.6,sugarcane,TSP
39,77,21,22.99774444,78.24218572,4.603563116,24.5,24.5,sugarcane,TSP
35,75,20,30.55992394,78.29006485,6.979540061,24.6,24.6,sugarcane,TSP
27,71,24,31.46417866,78.17631461,7.064973419,24.5,24.5,sugarcane,TSP
26,64,22,25.95058595,78.58227261,5.16516459,24.4,24.6,sugarcane,TSP
29,55,16,21.01142393,78.69141302,5.111488821,24.3,24.7,sugarcane,TSP
35,69,19,19.25100056,78.70351758,5.374358869,24.2,24.8,sugarcane,TSP
33,67,19,19.24462755,79.54495302,5.671419084,24.3,24.9,sugarcane,TSP
30,74,17,22.47253208,79.56532471,5.667419697,24.2,24.8,sugarcane,TSP
39,64,18,36.75087487,79.25799145,6.07938452,24.3,24.7,sugarcane,TSP
35,71,17,29.89286629,79.35375127,6.931924963,24.2,24.8,sugarcane,TSP
33,72,22,29.37735586,79.82294584,6.842744374,24.1,24.9,sugarcane,TSP
39,60,22,29.65052947,79.89833235,6.876572503,24,25,sugarcane,TSP
41,71,18,19.54284889,79.34777265,6.151029296,24.1,24.9,sugarcane,TSP
33,61,24,20.04611791,79.93905624,4.567446499,24,24.5,sugarcane,TSP
36,49,18,27.91095209,79.70930606,3.692863601,23.9,25.6,sugarcane,TSP
31,59,23,27.32220619,79.27868781,4.371745575,23.8,25.7,sugarcane,TSP
36,58,25,28.66024187,79.3189118,8.399135958,23.7,25.6,sugarcane,TSP
40,43,18,29.02955344,79.09387478,8.840656256,23.8,25.5,sugarcane,TSP
29,54,16,27.78031515,78.65030015,8.153022903,23.7,25.4,sugarcane,TSP
32,43,22,31.99928579,78.1077461,5.270749441,23.6,25.6,sugarcane,TSP
37,55,15,27.33580911,78.27755933,8.050304395,23.5,25.7,sugarcane,TSP
41,35,20,28.92952635,78.57014709,9.679240873,23.6,25.8,sugarcane,TSP
36,57,24,27.65472156,78.59986279,6.974978386,23.5,25.9,sugarcane,TSP
40,53,24,28.52396666,78.77264351,7.39389918,23.4,26,sugarcane,TSP
40,49,17,31.02215872,78.89239456,6.68727523,23.3,25.9,sugarcane,TSP
38,56,25,25.74095321,78.38497051,7.88118645,23.2,25.8,sugarcane,TSP
27,43,23,31.70447482,78.85420099,5.875333778,23.1,23.7,sugarcane,TSP
30,38,22,24.47876451,78.51663927,8.202706015,23.2,23.6,sugarcane,TSP
33,45,21,31.46511256,78.79939437,8.985348193,23.1,19.4,sugarcane,TSP
29,57,20,25.60973447,78.7330069,5.87707519,23.2,19.5,sugarcane,TSP
31,35,23,30.30260453,78.18283631,7.707595055,23.1,19.6,sugarcane,TSP
37,55,25,28.17489437,77.6672299,4.524171562,23,19.7,sugarcane,TSP
34,45,22,25.50634557,77.8302551,9.926212291,22.9,19.6,sugarcane,TSP
37,58,25,31.12896766,77.58788762,6.455592696,23,19.7,sugarcane,TSP
29,44,17,26.34043268,77.59160391,8.016210782,23.1,19.7,sugarcane,TSP
33,49,22,28.23494706,77.5620517,3.71105919,23,19.8,sugarcane,TSP
37,51,19,27.04453473,77.32609633,5.49091063,22.9,19.7,sugarcane,TSP
28,48,15,25.16125354,77.25435777,9.254089438,22.8,19.6,sugarcane,TSP
26,50,19,27.3179125,77.66921088,6.005242945,22.9,19.6,sugarcane,TSP
36,56,20,25.4123765,77.66474269,7.437078236,23,19.5,sugarcane,TSP
40,60,18,31.21629982,77.01868196,3.808429173,22.9,19.6,sugarcane,TSP
44,37,21,30.573999,77.22686794,5.818219385,22.8,19.5,sugarcane,TSP
39,43,24,25.42517036,77.2208266,4.52363558,22.7,19.4,sugarcane,TSP
36,43,24,27.09400578,77.65305437,3.510404312,22.8,19.5,sugarcane,TSP
42,44,24,24.30935081,77.32938343,6.030447288,22.7,19.6,sugarcane,TSP
45,43,22,30.06142622,77.90067655,5.498340808,22.6,19.7,sugarcane,TSP
41,45,15,28.09568993,77.9835384,4.61136408,22.5,19.8,sugarcane,TSP
35,56,23,26.33908791,78.00933429,5.545219232,22.4,19.7,sugarcane,TSP
36,57,16,28.61409059,78.14218792,8.292875734,22.5,19.8,sugarcane,TSP
38,45,19,28.70012137,78.359648,3.828031463,22.4,19.7,sugarcane,TSP
40,36,22,24.21610338,78.79236306,8.869532817,22.5,19.6,sugarcane,TSP
32,57,20,28.50677929,78.20094476,3.793575185,22.4,19.5,sugarcane,TSP
30,47,20,25.97948991,78.95585424,4.193189124,22.3,19.6,sugarcane,TSP
35,49,16,30.88482722,78.36561835,7.661537348,22.2,19.7,sugarcane,TSP
25,51,24,25.5042419,78.66852372,9.392694614,22.3,19.6,sugarcane,TSP
36,44,21,25.12528913,78.33189406,4.516154055,22.2,19.7,sugarcane,TSP
33,38,20,27.10508014,78.56791363,5.794289715,22.1,19.8,sugarcane,TSP
37,57,20,31.1006247,78.82069159,7.354286985,22,19.7,sugarcane,TSP
32,48,18,26.45707778,78.40226277,5.993513566,22.1,19.8,sugarcane,TSP
29,44,20,30.04132304,78.56222995,8.620107545,22.2,19.7,sugarcane,TSP
25,51,18,27.77799528,78.82130787,9.45949344,22.1,19.8,sugarcane,TSP
30,44,24,30.99256944,79.02151392,8.0344125,22,19.9,sugarcane,TSP
32,35,18,26.4908332,79.34833,5.414492777,21.9,19.8,sugarcane,TSP
37,60,23,31.96987867,79.17377029,6.276004336,22,19.7,sugarcane,TSP
40,58,21,25.36140526,79.82652785,9.160691747,21.9,19.8,sugarcane,TSP
41,42,22,25.54249137,79.96640758,7.887658711,22,19.9,sugarcane,TSP
37,39,21,28.99319096,79.85948245,8.183844843,22.1,20,sugarcane,TSP
39,36,22,29.34317422,79.50320928,9.072011412,22,20.1,sugarcane,TSP
32,41,16,28.63618921,79.39451307,7.702287236,22.9,20,sugarcane,TSP
30,41,15,24.83206631,79.17085032,5.88509677,22.8,19.9,sugarcane,TSP
35,36,22,25.44689075,78.55363573,6.16496284,22.7,19.8,sugarcane,TSP
37,46,15,31.01274943,78.40392519,3.504752314,22.6,19.9,sugarcane,TSP
34,39,20,27.06179658,78.3003173,7.388007483,22.7,19.8,sugarcane,TSP
35,57,25,27.0956288,78.26206161,8.340398059,22.6,19.9,sugarcane,TSP
39,55,24,28.56800579,78.30636014,8.66077954,22.7,19.7,sugarcane,TSP
35,51,17,28.79929247,78.84213387,3.558822825,22.6,19.8,sugarcane,TSP
34,56,17,27.94293692,78.41393636,5.9565851,22.5,19.9,sugarcane,TSP
28,57,17,30.47757686,78.58245338,9.416003106,22.4,20,sugarcane,TSP
39,36,16,30.58139475,78.77148138,8.18422855,22.5,19.9,sugarcane,TSP
41,41,19,26.85911286,78.81420849,5.131779302,22.4,20,sugarcane,TSP
38,38,18,26.31051759,79.18749126,6.294130313,22.3,19.9,sugarcane,TSP
36,37,24,28.77833449,79.2252605,7.991902443,22.4,20,sugarcane,TSP
33,35,20,28.90245417,79.35365671,8.923095695,22.5,20.1,sugarcane,TSP
40,45,20,29.37687468,79.69622912,6.878498176,22.4,20,sugarcane,TSP
30,58,19,24.17093241,79.25204566,5.243634849,22.3,19.9,sugarcane,TSP
33,56,23,26.65333029,79.79023382,7.550090941,22.4,20,sugarcane,TSP
34,56,17,28.19912143,79.50567601,8.709291688,22.3,19.9,sugarcane,TSP
26,51,25,28.76488954,79.62741529,7.792508068,22.2,19.8,sugarcane,TSP
39,42,20,29.3499706,79.25353851,8.055908858,22.1,19.9,sugarcane,TSP
27,59,20,28.00937423,79.60950014,4.397698806,22,20,sugarcane,TSP
29,45,19,26.85851927,79.8246387,5.952384957,22.1,20.1,sugarcane,TSP
32,40,17,31.2123945,79.92604945,8.532078733,22,20.2,sugarcane,TSP
37,45,23,24.20422636,80.43378674,7.224193642,22.1,20.1,sugarcane,TSP
30,52,23,29.98835437,80.60384796,4.931890506,22,20,sugarcane,TSP
33,45,16,29.93964907,80.61813464,4.626212446,21.9,19.9,sugarcane,TSP
34,54,24,31.2119298,80.55934359,5.026003659,21.8,20,sugarcane,TSP
30,51,25,26.80474415,80.23991436,3.5253661,21.7,20.1,sugarcane,TSP
29,41,21,31.49398069,80.84916863,8.86979671,21.6,20,sugarcane,TSP
33,50,22,30.99694676,80.42693735,9.406887533,21.5,20.1,sugarcane,TSP
37,40,23,29.61253065,80.04749127,5.80428611,21.6,20.2,sugarcane,TSP
40,54,15,29.97604322,80.03184356,8.35495812,21.5,20.1,sugarcane,TSP
35,55,22,30.88883074,79.62696801,8.634929739,21.6,20,sugarcane,TSP
37,59,25,30.39321309,80.16299493,7.699200949,21.5,20.1,sugarcane,TSP
40,45,18,30.43683729,80.20522037,5.261285926,21.4,20,sugarcane,TSP
35,38,19,25.32688786,80.18180319,9.112771682,21.3,19.9,sugarcane,TSP
42,58,17,30.53684308,80.96664731,4.605700542,21.4,20,sugarcane,TSP
40,55,18,30.38257873,80.5926071,7.115994051,21.3,20.1,sugarcane,TSP
44,36,23,24.01825377,80.76623369,7.214078621,21.2,20.2,sugarcane,TSP
35,52,15,28.69841277,81.14754363,9.93509073,21.3,20.1,sugarcane,TSP
37,59,22,29.33743412,81.00323081,8.914074888,21.2,20.2,sugarcane,TSP
30,51,16,27.96583691,81.34900107,8.639586199,21.1,20.3,sugarcane,TSP
33,47,17,24.86803974,81.27531965,8.621514073,21,20.4,sugarcane,TSP
35,51,17,25.87682261,81.96341933,5.838508699,21.1,20.3,sugarcane,TSP
40,51,21,31.01963639,81.9767522,3.532008668,21,20.2,sugarcane,TSP
33,55,20,27.43329405,81.80507732,7.18530147,30.4,20.3,sugarcane,TSP
34,54,20,28.3340432,80.77275974,7.034214276,30.5,20.2,sugarcane,TSP
36,55,20,27.01470397,80.34262707,6.635968698,30.4,20.3,sugarcane,TSP
40,56,16,28.17432665,81.04554836,6.828187499,30.5,20.4,sugarcane,TSP
42,56,17,29.87888063,81.32761241,6.89077995,30.6,20.3,sugarcane,TSP
35,57,24,29.89232778,81.71503316,7.165121109,30.7,20.4,sugarcane,TSP
34,59,23,28.56212158,81.24855855,6.935804256,30.6,20.3,sugarcane,TSP
31,51,25,27.53592929,81.5701901,7.196774236,30.7,20.2,sugarcane,TSP
39,49,18,29.68361658,81.93598094,6.990095452,30.8,20.1,sugarcane,TSP
38,39,20,28.14448546,82.1193047,7.064782138,30.7,20.2,sugarcane,TSP
30,35,22,29.53037621,82.73346018,7.156563094,30.8,20.1,sugarcane,TSP
32,52,17,27.88352946,82.45147631,6.364967184,30.9,20.2,sugarcane,TSP
34,42,23,28.22471276,82.35916228,6.428054409,30.7,20.1,sugarcane,TSP
28,46,16,29.008124,84.96089355,6.664187809,31.4,20.2,sugarcane,TSP
33,38,21,29.75538903,84.45193297,6.637677489,47.4,20.3,sugarcane,TSP
34,60,25,29.78416743,85.16906976,6.79385576,47.5,20.2,sugarcane,TSP
19,53,22,27.8640132,80.4513142,6.852884643,47.6,20.3,sugarcane,TSP
31,58,15,27.11026483,84.96771717,7.121571293,47.7,20.4,sugarcane,TSP
19,35,24,27.11030369,83.64274107,6.883308033,47.8,20.5,sugarcane,TSP
24,53,17,28.95451232,83.07866095,6.421271178,37.7,20.4,sugarcane,TSP
13,47,20,29.21780035,83.93724219,6.54450214,47.8,20.5,sugarcane,TSP
31,53,16,28.7420098,85.81675947,6.452006451,47.7,17.5,sugarcane,TSP
28,45,23,29.65021184,80.29868321,6.489259136,47.8,17.6,sugarcane,TSP
31,37,21,27.23924995,86.404241,6.713410626,47.9,17.5,sugarcane,TSP
33,60,15,28.95172351,81.67085323,6.510840928,47.8,17.6,sugarcane,TSP
34,45,21,28.18837136,82.60629652,6.287380117,47.9,17.5,sugarcane,TSP
13,57,25,28.30041493,86.20681554,6.86308576,47.8,17.6,sugarcane,TSP
33,57,17,27.89636126,88.71782287,6.78415271,47.7,17.5,sugarcane,TSP
32,57,22,28.6899851,87.50436797,6.769415888,47.6,17.4,sugarcane,TSP
23,59,25,27.8262623,88.73100226,6.320768488,47.7,17.5,sugarcane,TSP
35,41,18,28.70562673,81.59200689,6.705008504,47.8,17.6,sugarcane,TSP
33,48,24,28.6362812,84.61431076,6.790736339,47.9,17.5,sugarcane,TSP
29,36,25,28.28511547,88.4393979,7.130278657,48,17.6,sugarcane,TSP
34,36,22,27.60887393,86.13316408,7.012740397,48.1,17.5,sugarcane,TSP
30,59,22,28.60901145,86.99495766,7.155685016,48,17.6,sugarcane,TSP
32,48,21,29.24598976,84.80084105,6.991242362,47.9,17.5,sugarcane,TSP
39,50,21,28.62911222,89.1148059,6.218923893,47.8,17.6,sugarcane,TSP
33,40,15,29.57329479,88.07505524,7.199495368,47.7,17.7,sugarcane,TSP
36,43,22,27.82684262,87.16679147,6.389882166,47.8,17.8,sugarcane,TSP
38,57,15,29.8757015,83.14796296,6.623438282,47.9,17.7,sugarcane,TSP
40,60,23,27.33684386,88.50229102,7.033012777,48,17.8,sugarcane,TSP
42,59,15,29.83040388,89.30428305,6.32400451,47.9,17.7,sugarcane,TSP
37,60,25,28.2753171,82.76020821,6.397636709,47.8,17.6,sugarcane,TSP
35,47,15,29.86860065,85.99127934,6.401455706,47.9,17.7,sugarcane,TSP
38,45,22,29.5888162,89.9939693,6.904587016,47.8,17.8,sugarcane,TSP
44,39,15,28.07219563,82.9116472,6.478557136,47.9,17.9,sugarcane,TSP
30,40,24,27.84026517,89.99615558,7.063022095,47.8,17.8,sugarcane,TSP
35,48,15,27.10818093,87.4512669,6.981758362,47.7,17.9,sugarcane,TSP
32,59,25,27.68515114,81.94268594,6.227134139,47.6,17.8,sugarcane,TSP
35,48,24,29.34594634,85.60472562,6.232836962,47.7,17.7,sugarcane,TSP
36,43,21,28.36319404,84.8593608,7.140437859,47.8,17.8,sugarcane,TSP
38,46,24,27.65280218,89.80650642,6.459252023,47.7,17.9,sugarcane,TSP
34,47,19,27.31372793,85.44815232,6.568795404,47.6,17.8,sugarcane,TSP
30,44,18,27.06909959,86.89934108,7.12851089,47.5,17.9,sugarcane,TSP
29,58,20,28.06642822,85.91625451,6.42937879,47.6,18,sugarcane,TSP
25,40,21,27.73329078,81.13903037,6.248900919,47.5,18.1,sugarcane,TSP
34,38,18,27.53632932,89.92908171,6.619891498,47.4,18,sugarcane,TSP
33,48,20,29.66461594,84.28187572,6.377568542,47.5,18.1,sugarcane,TSP
37,49,25,29.9145443,85.85384444,6.415459592,47.6,18,sugarcane,TSP
36,38,15,28.36363858,87.59810657,6.320662012,47.5,17.9,sugarcane,TSP
40,58,15,29.46416042,87.60890009,6.978400282,47.4,18,sugarcane,TSP
30,44,16,29.73013036,82.89166381,6.442335593,47.3,17.9,sugarcane,TSP
33,59,23,27.46852989,87.17649,7.184398832,47.2,18,sugarcane,TSP
37,48,22,27.77076285,87.09979549,6.402926221,47.3,18.1,sugarcane,TSP
39,41,17,29.12939524,88.48312598,7.085982325,47.4,18.2,sugarcane,TSP
35,52,19,27.10606808,89.89593328,6.698574085,47.3,18.1,sugarcane,TSP
31,48,17,28.88078945,86.94206817,6.594739424,47.4,18,sugarcane,TSP
34,41,20,28.14720892,83.8001509,6.647965508,47.3,18.1,sugarcane,TSP
30,37,25,29.89129144,80.14487166,7.120032489,47.2,18.2,sugarcane,TSP
37,35,20,27.41503453,80.98004661,6.91380932,47.1,18.1,sugarcane,TSP
35,41,20,29.27308605,89.4875022,7.073048264,47,18.2,sugarcane,TSP
37,50,23,29.65296893,88.48587386,6.5304707,47.1,18.3,sugarcane,TSP
34,35,21,28.44524991,82.67639542,6.684381357,47.2,18.2,sugarcane,TSP
29,37,15,27.96235681,83.97586797,6.581351374,47.1,18.1,sugarcane,TSP
28,39,22,29.25649321,81.97952224,6.86483915,47.2,18.2,sugarcane,TSP
31,45,21,28.36291385,88.00989267,6.487124217,47.1,18.1,sugarcane,TSP
37,37,20,27.62749466,86.49366929,6.605733068,47,18,sugarcane,TSP
40,51,17,28.66086349,86.12194568,6.860602782,46.9,18.1,sugarcane,TSP
30,56,20,29.2114218,87.11497805,6.41874299,47,18.2,sugarcane,TSP
31,40,22,29.40889385,86.16063492,6.365513634,47.1,18.3,sugarcane,TSP
38,36,21,28.02952623,84.8845732,6.556372966,47,18.2,sugarcane,TSP
34,37,17,28.08657178,80.35005927,6.760694228,46.9,18.3,sugarcane,TSP
32,47,18,29.16174608,80.28038146,6.715276663,46.8,18.4,sugarcane,TSP
29,44,17,29.8596912,80.03499648,6.666380512,46.7,18.5,sugarcane,TSP
35,59,19,29.06631494,83.6869203,6.626629798,46.6,18.6,sugarcane,TSP
32,56,21,27.38538997,88.66663953,6.702772465,46.7,18.7,sugarcane,TSP
37,45,18,27.93034941,85.42058715,7.011030515,46.8,18.6,sugarcane,TSP
40,39,17,29.2808618,81.8009244,6.890156495,46.7,18.5,sugarcane,TSP
39,37,15,28.9973145,83.78911515,6.821747052,46.6,18.6,sugarcane,TSP
33,37,19,27.92678579,86.5543196,7.183189922,46.5,18.7,sugarcane,TSP
26,54,17,28.5474135,88.9570454,6.27258822,46.6,18.6,sugarcane,TSP
37,51,15,29.36488409,89.1886954,6.679127482,46.5,18.7,sugarcane,TSP
31,54,20,28.56149805,83.63802195,6.689825155,46.4,18.8,sugarcane,TSP
29,45,16,28.43683487,87.91332682,6.583381939,46.5,18.9,sugarcane,TSP
34,40,21,28.79728147,80.45744422,6.725551062,46.4,18.8,sugarcane,TSP
39,37,22,28.7275267,89.12760359,7.069747814,46.3,18.7,sugarcane,TSP
42,44,19,27.95639663,83.52706038,6.921993878,46.2,18.8,sugarcane,TSP
43,45,17,28.17458662,83.69659318,6.770955317,46.1,18.9,sugarcane,TSP
33,45,23,28.77653519,86.69133979,6.983130466,46.2,19,sugarcane,TSP
42,48,21,28.438097,83.48991368,6.267684328,46.1,19.1,sugarcane,TSP
56,79,15,29.48439992,63.19915325,7.454532137,46,19.2,sugarcane,TSP
49,62,21,26.73433965,68.13999721,7.040056094,46.1,19.1,sugarcane,TSP
42,61,22,26.27274407,62.28814857,7.418650668,46.2,19.2,sugarcane,TSP
42,73,25,34.03679184,67.21113844,6.501869314,46.1,19.3,sugarcane,TSP
44,58,18,28.03644051,65.06601664,6.814410928,46,19.4,sugarcane,TSP
50,55,16,28.81460716,65.33538112,7.581442888,45.9,19.3,sugarcane,TSP
